"","fb_post_id","Topic_page","Topic","likes","comments","shares"
"290","2558077361169928","General","General",4,0,2
"291","2555544924756505","General","General",0,0,2
"292","2554667341510930","General","General",17,0,14
"293","2553715911606073","General","General",3,0,4
"294","2553037475007250","General","General",8,0,2
"295","2552231435087854","General","General",3,0,2
"296","2551280058516325","General","General",4,1,3
"297","2550556205255377","General","General",6,0,2
"298","2549631772014487","General","General",2,2,4
"299","2548734692104195","General","General",9,1,4
"300","2548161738828157","General","General",6,0,8
"301","2547170238927307","General","General",9,0,2
"302","2546388849005446","General","General",8,0,9
"303","2545568289087502","General","General",1,0,0
"304","2544755555835442","General","General",37,1,20
"305","2543867022590962","General","General",8,0,3
"306","2543128702664794","General","General",15,1,9
"307","2542226276088370","General","General",8,0,5
"308","2695500237378176","General","General",9,42,4
"309","2541481076162890","General","General",10,0,4
"310","2417123481931984","General","General",7,0,2
"311","2540654282912236","General","General",2,0,0
"312","2540019452975719","General","General",22,0,12
"313","2388076281503371","General","General",6,1,7
"314","2539044903073174","General","General",6,0,7
"315","2538241396486858","General","General",11,0,3
"316","2537413033236361","General","General",22,1,21
"317","2536438896667108","General","General",5,0,4
"318","2535822660062065","General","General",14,0,7
"319","2417120458598953","General","General",9,0,0
"320","2534149440229387","General","General",8,0,6
"321","2533397306971267","General","General",3,0,2
"322","2532527790391552","General","General",12,0,5
"323","2530906497220348","General","General",19,0,6
"324","2530750327235965","General","General",17,0,1
"325","2529882927322705","General","General",10,0,3
"326","2529066790737652","General","General",3,0,2
"327","2528505147460483","General","General",2,0,1
"328","2388063731504626","General","General",6,0,5
"329","2527459344231730","General","General",11,0,4
"330","2526726127638385","General","General",8,1,1
"331","2525983477712650","General","General",18,4,3
"332","2525211277789870","General","General",78,0,5
"333","2524533204524344","General","General",26,0,15
"334","2523647261279605","General","General",19,0,17
"335","2522807188030279","General","General",11,0,1
"336","2521947078116290","General","General",12,0,4
"337","2521090594868605","General","General",11,0,6
"338","2520361878274810","General","General",15,0,3
"339","2520183201626011","General","General",8,1,8
"340","2417117718599227","General","General",5,3,1
"341","2417115531932779","General","General",11,0,1
"342","2518722578438740","General","General",11,0,3
"343","2517906221853709","General","General",10,0,2
"344","2517234865254178","General","General",6,0,2
"345","2517019958609002","General","General",6,0,17
"346","2516415438669454","General","General",18,0,13
"347","2516170022027329","General","General",7,0,4
"348","2515380888772909","General","General",5,0,3
"349","2514783428832655","General","General",12,0,3
"350","2513955195582145","General","General",22,0,17
"351","2513000522344279","General","General",7,0,0
"352","2388070744837258","General","General",11,0,8
"353","2512097909101207","General","General",14,2,7
"354","2511420879168910","General","General",31,1,22
"355","2511228839188114","General","General",10,2,0
"356","2510548702589461","General","General",13,0,6
"357","2509793785998286","General","General",13,0,5
"358","2508860406091624","General","General",10,0,8
"359","2508338162810515","General","General",18,0,6
"360","2507421372902194","General","General",11,0,6
"361","2417088618602137","General","General",12,0,4
"362","2506663496311315","General","General",20,0,4
"363","2505619993082332","General","General",9,0,6
"364","2417086051935727","General","General",15,1,4
